"측정일자","측정시간","지역","지역명","도로명","시작점","종점","기온","습도","재비산먼지 평균농도","오염범례"
"2023-04-13","12:13","경기","남양주시","해밀예당1로(동→서)","경기도 남양주시 진접읍 금곡리 1127-39 도","경기도 남양주시 진접읍 연평리 107-7 도","16","23","13","매우좋음"
"2023-04-13","12:27","경기","남양주시","해밀예당3로(북→남)","경기도 남양주시 진접읍 장현리 230-28 도","경기도 남양주시 오남읍 양지리","17","23","22","매우좋음"
"2023-04-13","12:37","경기","남양주시","해밀예당2로(동→서)","경기도 남양주시 진접읍 금곡리 240-2도","경기도 남양주시 진접읍 금곡리 1127-4 도","17","24","31","매우좋음"
"2023-04-13","12:46","경기","남양주시","양진로(북→남)","경기도 남양주시 진접읍 연평리 134-12 천","경기도 남양주시 일패동 72-16 도","17","26","13","매우좋음"
"2023-04-13","13:12","경기","남양주시","홍유릉로(서→동)","경기도 남양주시 일패동 695-1구","경기도 남양주시 금곡동 428-8구","18","26","40","매우좋음"
"2023-04-13","13:15","경기","남양주시","경춘로(서→동)","경기도 남양주시 도농동 155-7천","경기도 남양주시 화도읍 구암리 산28-4임","17","25","31","매우좋음"
"2023-04-13","13:23","경기","남양주시","늘을1로(서→동)","경기도 남양주시 평내동 121-16도","경기도 남양주시 호평동 710-4도","18","25","6","매우좋음"
"2023-04-13","14:23","경기","남양주시","맷돌로(동→서)","경기도 남양주시 화도읍 마석우리 361도","경기도 남양주시 화도읍 묵현리 232-10 도","18","20","112","보통"
"2023-04-13","14:34","경기","남양주시","호평로(동→서)","경기도 남양주시 호평동 3-10전","경기도 남양주시 호평동 692도","17","20","15","매우좋음"
"2023-04-13","14:38","경기","남양주시","늘을3로(서→동)","경기도 남양주시 호평동 685도","경기도 남양주시 호평동 705-1 도","17","21","59","좋음"
"2023-04-13","14:55","경기","남양주시","늘을2로(북→남)","경기도 남양주시 호평동 686도","경기도 남양주시 평내동 156-4도","17","20","30","매우좋음"
"2023-04-13","15:00","경기","남양주시","의안로(북→남)","경기도 남양주시 평내동 130-53구","경기도 남양주시 금곡동 11-5도","17","21","27","매우좋음"
"2023-04-13","15:08","경기","남양주시","평내로(서→동)","경기도 남양주시 평내동 394-10도","경기도 남양주시 평내동 647도","17","21","42","매우좋음"
